Frame Roll Pitch Yaw
0 -1.85505 -10.0509 -5.14452
1 -1.91501 -10.6888 -5.7772
2 -2.27043 -9.9104 -5.32912
3 -2.14671 -7.52803 -2.68344
4 -3.07233 -6.2963 0.197597
5 -3.33794 -5.74788 2.47567
6 -2.4253 -5.57037 2.33227
7 -3.87226 -6.06513 2.03692
8 -4.04567 -6.09092 1.35142
9 -5.47131 -6.71659 -2.0163
10 -5.40291 -8.18253 -2.90289
11 -7.10602 -9.53276 0.152928
12 -7.3075 -10.1758 1.982
13 -9.64024 -8.11259 6.39992
14 -11.8137 -7.11739 5.68277
15 -11.9468 -6.3924 11.5904
16 -9.79628 -7.78337 10.207
17 -9.88322 -5.10971 14.4601
18 -11.5707 -4.42531 15.5345
19 -13.128 -5.47618 27.3744
20 -12.8277 -5.75048 43.2781
21 -10.3946 -4.44532 47.2451
22 -7.02797 -2.13768 49.0754
23 -2.73068 -2.19635 34.1411
24 3.1745 -1.24812 31.933
25 8.2376 -3.08291 27.3185
26 12.2638 -1.91658 2.4921
27 -10.0543 -3.75973 22.3882
28 -9.3056 -1.79 27.6055
29 -10.4763 -0.379109 24.5583
30 -10.98 0.832232 33.4936
31 -7.55325 1.80387 32.337
32 -6.84879 3.5429 41.3219
33 -5.07765 5.6717 44.4697
34 -1.44064 7.16707 32.797
35 0.707718 7.24049 22.3651
36 2.04074 9.30615 15.3327
37 -0.331818 10.3997 7.63703
38 0.200504 9.36726 -5.40141
39 1.21248 8.26406 -13.1747
40 0.29016 7.15181 -15.8744
